,0
0,"The #Norway State Secretary also explained that in the reopening of society, has been guided by the WHO and @ECDC_EU recommendations. They highlighted that solidarity is our most important asset - ""when we protect each other, we protect ourselves."" #COVID19"
1,"#COVID19 preparedness &amp; response plan in includes: -establishing surveillance capacity -slowing community transmission -continuing ess. health services -identifying, isolating &amp; caring for patients early -enhancing infection prevention &amp; control -communicating critical risks"
2,"At today's WHO Member States Information Session, the following Health Ministers/Representatives are sharing #COVID19 response experiences: David Clark Abul Kalam Azad Ahmed bin Mohammed bin Obaid Al Saidi Anne Grethe Erlandsen Lemogang Kwape Jose Angel Portal Miranda "
3,"""But here’s what we do know: that finding, isolating and testing people with symptoms, and tracing and quarantining their contacts, is the most critical way to stop #COVID19 transmission""-@DrTedros"
4,Asymptomatic: people who are infected but never go on to develop symptoms Pre-symptomatic: people who are infected but have not yet developed symptoms Symptomatic: people who are infected and showing symptoms #COVID19 #coronavirus Learn more 
5,Live on #COVID19 transmission with @DrMikeRyan &amp; Dr @mvankerkhove. #AskWHO
6,"Wash your hands for 40 seconds and sing along ""Wash Wash Wash Your Hands"" with @peppapig and and her friends, Rebecca Rabbit and Mr Badger! Washing your hands can help to stop the spread of #COVID19 "
7,The @Minions &amp; Gru are supporting WHO in making sure people of all ages stay safe and healthy during this #COVID19 pandemic: physically distancing being active at home being kind to each other 
8,False information on #COVID19 is spreading &amp; putting people in danger. Make sure to double-check everything you hear against trusted sources. For accurate information on #coronavirus find official advice from your country's public health authority &amp; WHO!
9,"""So far, WHO has shipped more than 5 million items of personal protective equipment (PPE) to 110 countries. We are now in the process of shipping more than 129 million items of PPE to 126 countries""-@DrTedros #COVID19"
10,"""WHO has also published new guidelines on the use of digital tools for contact tracing. Many digital tools have been developed to assist with contact tracing and case identification""-@DrTedros #COVID19 "
11,"""We also encourage countries to strengthen the fundamental public health measures that remain the basis of the response: find, isolate, test and care for every case, and trace and quarantine every contact""-@DrTedros #COVID19"
12,Stay informed on the latest information about #COVID19 from trusted sources. Try WHO WhatsApp service http://bit.ly/who-covid19-whatsapp Start by typing ‘hi’. #coronavirus
13,WHO updated guidance on the use of masks for control of #COVID19: https://bit.ly/2AJYSMS The new guidance is based on evolving evidence and provides updates on: who should wear a mask when a mask should be worn what a mask should be made of
14,"""WHO will continue to provide the world with advice based on the most up-to-date evidence, as part of our commitment to serving the world with science, solutions and solidarity""-@DrTedros #COVID19"
15,"""The cornerstone of the response in every country must be to find, isolate, test and care for every case, and to trace and quarantine every contact. That is what we know works. That is every country’s best defense against #COVID19""-@DrTedros"
16,"""I cannot say this clearly enough: masks alone will not protect you from #COVID19. Masks are not a replacement for physical distancing, hand hygiene and other public health measures. Masks are only of benefit as part of a comprehensive approach""-@DrTedros"
17,"""Our guidance also explains how to use a mask safely. People can potentially infect themselves if they use contaminated hands to adjust a mask, or to repeatedly take it off and put it on, without cleaning hands in between""-@DrTedros #COVID19 "
18,"""Third, WHO has also updated its guidance on the use of masks by the general public in areas with community transmission""-@DrTedros #COVID19"
19,"""Second, in areas with community transmission, we advise that 𝗽𝗲𝗼𝗽𝗹𝗲 𝗮𝗴𝗲𝗱 60 𝘆𝗲𝗮𝗿𝘀 𝗼𝗿 𝗼𝘃𝗲𝗿, or those with underlying conditions, should wear a medical mask in situations where physical distancing is not possible""-@DrTedros #COVID19"
