,0,tweets,positivewordscount,negativewordscount,positive_words,negative_words,over all sentiment
0,"['norway', 'state', 'secretary', 'also', 'explain', 'reopening', 'society', 'guide', 'ecdc', 'eu', 'recommendation', 'highlight', 'solidarity', 'important', 'asset', 'protect', 'protect', 'covid']","['norway', 'state', 'secretary', 'also', 'explain', 'reopening', 'society', 'guide', 'ecdc', 'eu', 'recommendation', 'highlight', 'solidarity', 'important', 'asset', 'protect', 'protect', 'covid']",5,0,",recommendation,solidarity,important,protect,protect",,positive
1,"['covid', 'preparedness', 'amp', 'response', 'plan', 'include', 'establishing', 'surveillance', 'capacity', 'slowing', 'community', 'transmission', 'continuing', 'es', 'health', 'service', 'identifying', 'isolate', 'amp', 'care', 'patient', 'early', 'enhancing', 'infection', 'prevention', 'amp', 'control', 'communicating', 'critical', 'risk']","['covid', 'preparedness', 'amp', 'response', 'plan', 'include', 'establishing', 'surveillance', 'capacity', 'slowing', 'community', 'transmission', 'continuing', 'es', 'health', 'service', 'identifying', 'isolate', 'amp', 'care', 'patient', 'early', 'enhancing', 'infection', 'prevention', 'amp', 'control', 'communicating', 'critical', 'risk']",0,4,,",isolate,infection,critical,risk",negative
2,"['today', 'member', 'states', 'information', 'session', 'following', 'health', 'ministers', 'representatives', 'share', 'covid', 'response', 'experience', 'david', 'clark', 'abul', 'kalam', 'azad', 'ahmed', 'bin', 'mohammed', 'bin', 'obaid', 'al', 'saidi', 'anne', 'grethe', 'erlandsen', 'lemogang', 'kwape', 'jose', 'angel', 'portal', 'miranda']","['today', 'member', 'states', 'information', 'session', 'following', 'health', 'ministers', 'representatives', 'share', 'covid', 'response', 'experience', 'david', 'clark', 'abul', 'kalam', 'azad', 'ahmed', 'bin', 'mohammed', 'bin', 'obaid', 'al', 'saidi', 'anne', 'grethe', 'erlandsen', 'lemogang', 'kwape', 'jose', 'angel', 'portal', 'miranda']",1,0,",angel",,positive
3,"['’', 'know', 'find', 'isolate', 'test', 'people', 'symptom', 'trace', 'quarantine', 'contact', 'critical', 'way', 'stop', 'covid', 'transmission', 'drtedros']","['’', 'know', 'find', 'isolate', 'test', 'people', 'symptom', 'trace', 'quarantine', 'contact', 'critical', 'way', 'stop', 'covid', 'transmission', 'drtedros']",1,3,",quarantine",",isolate,symptom,critical",negative
4,"['asymptomatic', 'people', 'infect', 'never', 'go', 'develop', 'symptoms', 'pre', 'symptomatic', 'people', 'infect', 'yet', 'develop', 'symptom', 'symptomatic', 'people', 'infect', 'show', 'symptom', 'covid', 'coronavirus', 'learn']","['asymptomatic', 'people', 'infect', 'never', 'go', 'develop', 'symptoms', 'pre', 'symptomatic', 'people', 'infect', 'yet', 'develop', 'symptom', 'symptomatic', 'people', 'infect', 'show', 'symptom', 'covid', 'coronavirus', 'learn']",0,7,,",infect,never,symptoms,infect,symptom,infect,symptom",negative
5,"['live', 'covid', 'transmission', 'drmikeryan', 'amp', 'dr', 'mvankerkhove', 'askwho']","['live', 'covid', 'transmission', 'drmikeryan', 'amp', 'dr', 'mvankerkhove', 'askwho']",0,0,,,neutral
6,"['wash', 'hand', 'second', 'sing', 'along', 'wash', 'wash', 'wash', 'hands', 'peppapig', 'friend', 'rebecca', 'rabbit', 'mr', 'badger', 'washing', 'hand', 'help', 'stop', 'spread', 'covid']","['wash', 'hand', 'second', 'sing', 'along', 'wash', 'wash', 'wash', 'hands', 'peppapig', 'friend', 'rebecca', 'rabbit', 'mr', 'badger', 'washing', 'hand', 'help', 'stop', 'spread', 'covid']",1,1,",help",",spread",neutral
7,"['minions', 'amp', 'gru', 'support', 'make', 'sure', 'people', 'age', 'stay', 'safe', 'healthy', 'covid', 'pandemic', 'physically', 'distance', 'active', 'home', 'kind']","['minions', 'amp', 'gru', 'support', 'make', 'sure', 'people', 'age', 'stay', 'safe', 'healthy', 'covid', 'pandemic', 'physically', 'distance', 'active', 'home', 'kind']",3,1,",support,safe,healthy",",pandemic",positive
8,"['false', 'information', 'covid', 'spread', 'amp', 'put', 'people', 'danger', 'make', 'sure', 'double', 'check', 'everything', 'hear', 'trust', 'source', 'accurate', 'information', 'coronavirus', 'find', 'official', 'advice', 'country', 'public', 'health', 'authority', 'amp']","['false', 'information', 'covid', 'spread', 'amp', 'put', 'people', 'danger', 'make', 'sure', 'double', 'check', 'everything', 'hear', 'trust', 'source', 'accurate', 'information', 'coronavirus', 'find', 'official', 'advice', 'country', 'public', 'health', 'authority', 'amp']",2,2,",trust,accurate",",spread,danger",neutral
9,"['far', 'ship', 'million', 'item', 'personal', 'protective', 'equipment', 'ppe', 'country', 'process', 'ship', 'million', 'item', 'ppe', 'country', 'drtedros', 'covid']","['far', 'ship', 'million', 'item', 'personal', 'protective', 'equipment', 'ppe', 'country', 'process', 'ship', 'million', 'item', 'ppe', 'country', 'drtedros', 'covid']",1,0,",protective",,positive
