,0,tweets,positive_words_count,negative_words_count,positive_words,negative_words,over all sentiment
0,"['u', 'style', 'human', 'right', 'crisis', 'magnify', 'covid', 'u', 'government', '\\', '\\', 'response', 'covid', 'pandemic', 'self', 'interested', 'short', 'sighted', 'inefficient', 'irresponsible', 'http']","['u', 'style', 'human', 'right', 'crisis', 'magnify', 'covid', 'u', 'government', '\\', '\\', 'response', 'covid', 'pandemic', 'self', 'interested', 'short', 'sighted', 'inefficient', 'irresponsible', 'http']",1,4,",right",",crisis,pandemic,inefficient,irresponsible",negative
1,"['latest', 'count', 'covid', 'case', 'worldwide', 'gmt', 'june', 'world', 'u', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'data', 'johns', 'hopkins', 'university']","['latest', 'count', 'covid', 'case', 'worldwide', 'gmt', 'june', 'world', 'u', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'data', 'johns', 'hopkins', 'university']",0,1,,",case",negative
2,"['eu', 'country', 'announce', 'new', 'step', 'reopen', 'border', 'improvement', 'covid', 'situation', 'inside', 'country', 'http']","['eu', 'country', 'announce', 'new', 'step', 'reopen', 'border', 'improvement', 'covid', 'situation', 'inside', 'country', 'http']",1,0,",improvement",,positive
3,"['china', 'inspiration', 'country', 'fight', 'covid', 'say', 'bernard', 'dewit', 'chairman', 'belgian', 'chinese', 'chamber', 'commerce', 'fightvirus']","['china', 'inspiration', 'country', 'fight', 'covid', 'say', 'bernard', 'dewit', 'chairman', 'belgian', 'chinese', 'chamber', 'commerce', 'fightvirus']",1,0,",inspiration",,positive
4,"['breaking', 'u', 'covid', 'case', 'surpass', 'million', 'accord', 'johns', 'hopkins', 'university']","['breaking', 'u', 'covid', 'case', 'surpass', 'million', 'accord', 'johns', 'hopkins', 'university']",1,3,",surpass",",breaking,case,surpass",negative
5,"['coordinated', 'disinformation', 'effort', 'stop', 'researcher', 'say', 'kind', 'coordinated', 'disinformation', 'almost', 'entirely', 'right', 'wing', 'phenomenon', 'say', '\\', '\\', 'good', 'coordinated', 'effort', 'fight', 'coronavirus', 'http', 'covid']","['coordinated', 'disinformation', 'effort', 'stop', 'researcher', 'say', 'kind', 'coordinated', 'disinformation', 'almost', 'entirely', 'right', 'wing', 'phenomenon', 'say', '\\', '\\', 'good', 'coordinated', 'effort', 'fight', 'coronavirus', 'http', 'covid']",4,0,",effort,right,good,effort",,positive
6,"['breaking', 'u', 'fed', 'keep', 'interest', 'rate', 'near', 'zero', 'amid', 'covid', 'crisis']","['breaking', 'u', 'fed', 'keep', 'interest', 'rate', 'near', 'zero', 'amid', 'covid', 'crisis']",1,2,",fed",",breaking,crisis",negative
7,"['latest', 'count', 'confirmed', 'covid', 'case', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'us', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran']","['latest', 'count', 'confirmed', 'covid', 'case', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'us', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran']",0,1,,",case",negative
8,"['peru', 'covid', 'case', 'top', 'south', 'american', 'country', 'eighth', 'highest', 'number', 'case', 'worldwide', 'second', 'large', 'caseload', 'latin', 'america', 'brazil', 'http']","['peru', 'covid', 'case', 'top', 'south', 'american', 'country', 'eighth', 'highest', 'number', 'case', 'worldwide', 'second', 'large', 'caseload', 'latin', 'america', 'brazil', 'http']",1,2,",top",",case,case",negative
9,"['covid', 'research', 'europe', 'could', 'lead', 'first', 'dos', 'vaccine', 'autumn', 'winter', 'italian', 'expert', 'http']","['covid', 'research', 'europe', 'could', 'lead', 'first', 'dos', 'vaccine', 'autumn', 'winter', 'italian', 'expert', 'http']",1,0,",lead",,positive
10,"['china', 'send', 'team', 'medical', 'expert', 'support', 'palestine', 'effort', 'covid', 'pandemic', 'http']","['china', 'send', 'team', 'medical', 'expert', 'support', 'palestine', 'effort', 'covid', 'pandemic', 'http']",2,1,",support,effort",",pandemic",positive
11,"['russia', 'add', 'covid', 'case', 'past', 'hour', 'take', 'total', 'http']","['russia', 'add', 'covid', 'case', 'past', 'hour', 'take', 'total', 'http']",0,1,,",case",negative
12,"['latest', 'count', 'covid', 'case', 'hardest', 'hit', 'country', 'gmt', 'june', 'jhu', 'world', 'u', 'brazil', 'russia', 'uk', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran', 'turkey', 'chile']","['latest', 'count', 'covid', 'case', 'hardest', 'hit', 'country', 'gmt', 'june', 'jhu', 'world', 'u', 'brazil', 'russia', 'uk', 'india', 'spain', 'italy', 'peru', 'france', 'germany', 'iran', 'turkey', 'chile']",0,1,,",case",negative
13,"['un', 'chief', 'warns', 'impend', 'global', 'food', 'emergency', 'amid', 'covid', 'pandemic', 'http']","['un', 'chief', 'warns', 'impend', 'global', 'food', 'emergency', 'amid', 'covid', 'pandemic', 'http']",0,2,,",emergency,pandemic",negative
14,"['france', 'economy', 'course', 'shrink', 'due', 'covid', 'outbreak', 'say', 'country', 'central', 'bank']","['france', 'economy', 'course', 'shrink', 'due', 'covid', 'outbreak', 'say', 'country', 'central', 'bank']",0,1,,",outbreak",negative
15,"['china', 'sunday', 'issue', 'white', 'paper', 'country', 'battle', 'covid', 'much', 'know', 'china', 'fight', 'covid', 'take', 'quiz', 'find', 'http']","['china', 'sunday', 'issue', 'white', 'paper', 'country', 'battle', 'covid', 'much', 'know', 'china', 'fight', 'covid', 'take', 'quiz', 'find', 'http']",0,1,,",issue",negative
16,"['covid', 'neutralize', 'antibody', 'enters', 'phase', 'clinical', 'trial', 'shanghai', 'http']","['covid', 'neutralize', 'antibody', 'enters', 'phase', 'clinical', 'trial', 'shanghai', 'http']",0,0,,,neutral
17,"['million', 'chinese', 'community', 'worker', 'guard', 'covid', 'say', 'white', 'paper', 'http']","['million', 'chinese', 'community', 'worker', 'guard', 'covid', 'say', 'white', 'paper', 'http']",0,0,,,neutral
18,"['science', 'technology', 'underpin', 'china', 'covid', 'fight', 'white', 'paper', 'http']","['science', 'technology', 'underpin', 'china', 'covid', 'fight', 'white', 'paper', 'http']",0,0,,,neutral
19,"['china', 'donate', 'medical', 'supply', 'senegal', 'west', 'african', 'country', 'covid', 'case', 'keep', 'rising', 'stand', 'thursday', 'http']","['china', 'donate', 'medical', 'supply', 'senegal', 'west', 'african', 'country', 'covid', 'case', 'keep', 'rising', 'stand', 'thursday', 'http']",1,1,",donate",",case",neutral
20,"['music', 'food', 'game', 'follow', 'vlog', 'taste', 'buzz', 'vigor', 'vibe', 'shanghai', 'night', 'market', 'covid', 'restriction', 'ease']","['music', 'food', 'game', 'follow', 'vlog', 'taste', 'buzz', 'vigor', 'vibe', 'shanghai', 'night', 'market', 'covid', 'restriction', 'ease']",1,1,",ease",",restriction",neutral
21,"['u', 'fed', 'keep', 'near', 'zero', 'interest', 'rate', 'http', 'sharper', 'downturn', 'slow', 'recovery', 'economic', 'recovery', 'expect', 'last', 'year', 'fed', 'chair', 'suggest', 'congress', 'help', 'unemployed', 'small', 'business', 'owner', 'amid', 'covid', 'crisis']","['u', 'fed', 'keep', 'near', 'zero', 'interest', 'rate', 'http', 'sharper', 'downturn', 'slow', 'recovery', 'economic', 'recovery', 'expect', 'last', 'year', 'fed', 'chair', 'suggest', 'congress', 'help', 'unemployed', 'small', 'business', 'owner', 'amid', 'covid', 'crisis']",6,4,",fed,sharper,recovery,recovery,fed,help",",downturn,slow,unemployed,crisis",positive
22,"['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'u', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany']","['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'u', 'brazil', 'russia', 'britain', 'india', 'spain', 'italy', 'peru', 'france', 'germany']",0,1,,",case",negative
