,0
0,Volunteers of a Pakistani charity organization distribute food to people affected by #COVID19 pandemic in Islamabad http://xhne.ws/jdbOl #AsiaAlbum
1,"#COVID19 infection on Chinese mainland Tuesday: http://xhne.ws/CB2SX - 1 imported case in Guangdong - 0 domestically transmitted cases - 1 person discharged from hospital - 73 patients being treated - 83,021 confirmed cases &amp; 4,634 deaths in total"
2,"#Coronavirus watch, June 3: http://xhne.ws/1GlLA - Spain: no new #COVID19 deaths for 2nd straight day - Europe-based airlines start to resume services - France: 107 new single-day deaths - UK: deaths hit 39,369 as another 324 patients die - Chile: cases top 108,000 "
3,"Latest count of confirmed #COVID19 cases worldwide at 0000 GMT, June 3: Johns Hopkins University World: 6,372,447 U.S.: 1,831,435 Brazil: 555,383 Russia: 423,186 Britain: 279,392 Spain: 239,932 Italy: 233,515 India: 207,183 France: 188,450 Germany: 183,879 Peru: 170,039 "
4,"Mass protests in U.S. over death of black man #GeorgeFloyd may speed up #COVID19 transmission, experts warn http://xhne.ws/kffTj"
5,"#Coronavirus latest in Europe: http://xhne.ws/4LZFr -- UK #COVID19 deaths hit 39,369 -- Italy's death toll climbs to 33,530 -- Spain reports no new deaths for 2nd consecutive day -- France enters 2nd phase in easing restrictions "
6,"U.S. high unemployment largely due to poor management of #COVID19 pandemic by federal government, economist says http://xhne.ws/H9KMg"
7,Kenya launched a virtual safari live stream campaign to showcase the country's wildlife. The six-week expedition across the country will help connect travelers to Kenya when there is restricted movement due to #COVID19 pandemic http://xhne.ws/PCjzL
8,"Update: Wuhan screens nearly 10 mln people in citywide #COVID19 tests. National resources were pulled in to support the citywide drive, and batch testing, which mixes no more than five samples in a single test, was employed to improve efficiency http://xhne.ws/nZVOJ"
9,"The number of confirmed #COVID19 cases across the African continent surpassed the 150,000 mark as of Tuesday, according to the Africa Centers for Disease Control and Prevention http://xhne.ws/53EZy"
10,"Namibia's beef exports to int'l markets not affected by #COVID19 pandemic, even as export beef availability might reduce after farmers de-stocked last year due to drought: major beef exporter http://xhne.ws/dy8qw"
11,"Wuhan spends 900 mln yuan on citywide #COVID19 tests. The city's health commission said the tests are voluntary and free, with all costs borne by city and district governments http://xhne.ws/GSAXI"
12,No confirmed #COVID19 cases found in Wuhan's citywide nucleic acid tests on nearly 10 mln people http://xhne.ws/knfot
13,Central China's Wuhan tests nearly 10 mln people for #COVID19 in half month to screen novel coronavirus infections http://xhne.ws/qSBf9
14,Opinion: China determined to further open up despite #COVID19 epidemic http://xhne.ws/UAVgh
15,Chinese mainland reports no new domestically transmitted #COVID19 cases; 5 imported cases reported http://xhne.ws/yrAFj
16,"#Coronavirus watch, June 2: http://xhne.ws/OWoaV - Global #COVID19 cases reported to WHO top 6 mln - U.S. cases top 1.8 mln: Johns Hopkins University - Chile's cases exceed 100,000, death toll hits 1,113 - UK's deaths top 39,000 as another 111 patients die "
17,"U.S. #COVID19 cases top 1.8 million, according to Johns Hopkins University. National death toll reaches 105,003 http://xhne.ws/OcExw"
18,#Realitycheck (15/24): U.S. has fabricated 24 LIES to shift blame to China and cover its inadequate response to #COVID19 
19,"China is an inspiration for other countries in the fight against #COVID19, says Bernard Dewit, Chairman of Belgian-Chinese Chamber of Commerce. #FightVirus"
20,"Latest count of confirmed #COVID19 cases worldwide at 0500 GMT, June 11: Johns Hopkins University World: 7,360,239 U.S.: 2,000,464 Brazil: 772,416 Russia: 493,023 Britain: 291,588 India: 276,583 Spain: 242,280 Italy: 235,763 Peru: 208,823 France: 192,068 Germany: 186,522 "
21,"Peru reports over 5,000 new #COVID19 infections, taking national tally to 208,823 http://xhne.ws/DAiS0"
22,"#COVID19 infection on Chinese mainland Wed: http://xhne.ws/WIW83 - 11 imported cases in Shanghai, Guangdong, Tianjin, Fujian - 0 domestically transmitted cases - 4 people discharged from hospitals - 62 patients being treated - 83,057 confirmed cases &amp; 4,634 deaths in total"
23,"#BREAKING: U.S. #COVID19 cases surpass 2 million, according to Johns Hopkins University "
24,"Coordinated disinformation efforts should be stopped, researcher says ""This kind of coordinated disinformation is almost entirely a right-wing phenomenon,"" he says. ""It can't be good for coordinated efforts to fight coronavirus..."" http://xhne.ws/KmJjz #COVID19 "
25,"IMF chief urges countries to recognize importance of global trade amid #COVID19 pandemic, and guard against ""dramatic retreat"" from globalization http://xhne.ws/qJKzo"
26,#BREAKING: U.S. Fed keeps interest rates near zero amid #COVID19 crisis 
27,"Latest count of confirmed #COVID19 cases at 1500 GMT, June 10: Johns Hopkins University World : 7,271,569 US: 1,980,893 Brazil: 739,503 Russia: 493,023 Britain: 290,581 India: 276,583 Spain: 241,966 Italy: 235,561 Peru: 199,696 France: 191,523 Germany: 186,522 Iran: 177,938 "
28,"#COVID19 research in Europe could lead to first doses of vaccine ""by autumn-winter"": Italian expert http://xhne.ws/OqgE0"
29,China sends a team of medical experts to support Palestine's efforts against the #COVID19 pandemic http://xhne.ws/0K5zk
