,0,tweets,positivewordscount,negativewordscount,positive_words,negative_words,over all sentiment
0,"['every', 'week', 'speak', 'directly', 'country', 'medium', 'public', 'keep', 'everyone', 'date', 'late', 'scientific', 'evidence', 'evolution', 'covid', 'pandemic', 'drtedros']","['every', 'week', 'speak', 'directly', 'country', 'medium', 'public', 'keep', 'everyone', 'date', 'late', 'scientific', 'evidence', 'evolution', 'covid', 'pandemic', 'drtedros']",0,1,,",pandemic",negative
1,"['asymptomatic', 'people', 'infect', 'never', 'go', 'develop', 'symptoms', 'pre', 'symptomatic', 'people', 'infect', 'yet', 'develop', 'symptom', 'symptomatic', 'people', 'infect', 'show', 'symptom', 'covid', 'coronavirus', 'learn']","['asymptomatic', 'people', 'infect', 'never', 'go', 'develop', 'symptoms', 'pre', 'symptomatic', 'people', 'infect', 'yet', 'develop', 'symptom', 'symptomatic', 'people', 'infect', 'show', 'symptom', 'covid', 'coronavirus', 'learn']",0,7,,",infect,never,symptoms,infect,symptom,infect,symptom",negative
2,"['live', 'covid', 'transmission', 'drmikeryan', 'amp', 'dr', 'mvankerkhove', 'askwho']","['live', 'covid', 'transmission', 'drmikeryan', 'amp', 'dr', 'mvankerkhove', 'askwho']",0,0,,,neutral
3,"['wash', 'hand', 'second', 'sing', 'along', 'wash', 'wash', 'wash', 'hands', 'peppapig', 'friend', 'rebecca', 'rabbit', 'mr', 'badger', 'washing', 'hand', 'help', 'stop', 'spread', 'covid']","['wash', 'hand', 'second', 'sing', 'along', 'wash', 'wash', 'wash', 'hands', 'peppapig', 'friend', 'rebecca', 'rabbit', 'mr', 'badger', 'washing', 'hand', 'help', 'stop', 'spread', 'covid']",1,1,",help",",spread",neutral
4,"['minions', 'amp', 'gru', 'support', 'make', 'sure', 'people', 'age', 'stay', 'safe', 'healthy', 'covid', 'pandemic', 'physically', 'distance', 'active', 'home', 'kind']","['minions', 'amp', 'gru', 'support', 'make', 'sure', 'people', 'age', 'stay', 'safe', 'healthy', 'covid', 'pandemic', 'physically', 'distance', 'active', 'home', 'kind']",3,1,",support,safe,healthy",",pandemic",positive
5,"['far', 'ship', 'million', 'item', 'personal', 'protective', 'equipment', 'ppe', 'country', 'process', 'ship', 'million', 'item', 'ppe', 'country', 'drtedros', 'covid']","['far', 'ship', 'million', 'item', 'personal', 'protective', 'equipment', 'ppe', 'country', 'process', 'ship', 'million', 'item', 'ppe', 'country', 'drtedros', 'covid']",1,0,",protective",,positive
6,"['also', 'encourage', 'country', 'strengthen', 'fundamental', 'public', 'health', 'measure', 'remain', 'basis', 'response', 'find', 'isolate', 'test', 'care', 'every', 'case', 'trace', 'quarantine', 'every', 'contact', 'drtedros', 'covid']","['also', 'encourage', 'country', 'strengthen', 'fundamental', 'public', 'health', 'measure', 'remain', 'basis', 'response', 'find', 'isolate', 'test', 'care', 'every', 'case', 'trace', 'quarantine', 'every', 'contact', 'drtedros', 'covid']",2,2,",encourage,quarantine",",isolate,case",neutral
7,"['stay', 'inform', 'late', 'information', 'covid', 'trust', 'source', 'try', 'whatsapp', 'service', 'http', 'start', 'type', '‘', 'hi', '’', 'coronavirus']","['stay', 'inform', 'late', 'information', 'covid', 'trust', 'source', 'try', 'whatsapp', 'service', 'http', 'start', 'type', '‘', 'hi', '’', 'coronavirus']",1,0,",trust",,positive
8,"['updated', 'guidance', 'use', 'mask', 'control', 'covid', 'http', 'new', 'guidance', 'base', 'evolve', 'evidence', 'provide', 'update', 'wear', 'mask', 'mask', 'wear', 'mask', 'make']","['updated', 'guidance', 'use', 'mask', 'control', 'covid', 'http', 'new', 'guidance', 'base', 'evolve', 'evidence', 'provide', 'update', 'wear', 'mask', 'mask', 'wear', 'mask', 'make']",2,0,",guidance,guidance",,positive
9,"['continue', 'provide', 'world', 'advice', 'base', 'date', 'evidence', 'part', 'commitment', 'serve', 'world', 'science', 'solution', 'solidarity', 'drtedros', 'covid']","['continue', 'provide', 'world', 'advice', 'base', 'date', 'evidence', 'part', 'commitment', 'serve', 'world', 'science', 'solution', 'solidarity', 'drtedros', 'covid']",3,0,",commitment,serve,solidarity",,positive
10,"['cornerstone', 'response', 'every', 'country', 'must', 'find', 'isolate', 'test', 'care', 'every', 'case', 'trace', 'quarantine', 'every', 'contact', 'know', 'work', 'every', 'country', '’', 'best', 'defense', 'covid', 'drtedros']","['cornerstone', 'response', 'every', 'country', 'must', 'find', 'isolate', 'test', 'care', 'every', 'case', 'trace', 'quarantine', 'every', 'contact', 'know', 'work', 'every', 'country', '’', 'best', 'defense', 'covid', 'drtedros']",3,2,",cornerstone,quarantine,best",",isolate,case",positive
11,"['say', 'clearly', 'enough', 'mask', 'alone', 'protect', 'covid', 'masks', 'replacement', 'physical', 'distancing', 'hand', 'hygiene', 'public', 'health', 'measure', 'masks', 'benefit', 'part', 'comprehensive', 'approach', 'drtedros']","['say', 'clearly', 'enough', 'mask', 'alone', 'protect', 'covid', 'masks', 'replacement', 'physical', 'distancing', 'hand', 'hygiene', 'public', 'health', 'measure', 'masks', 'benefit', 'part', 'comprehensive', 'approach', 'drtedros']",5,0,",clearly,enough,protect,benefit,comprehensive",,positive
12,"['masks', 'also', 'create', 'false', 'sense', 'security', 'lead', 'people', 'neglect', 'measure', 'hand', 'hygiene', 'physical', 'distancing', 'drtedros', 'covid']","['masks', 'also', 'create', 'false', 'sense', 'security', 'lead', 'people', 'neglect', 'measure', 'hand', 'hygiene', 'physical', 'distancing', 'drtedros', 'covid']",1,1,",lead",",neglect",neutral
13,"['guidance', 'also', 'explain', 'use', 'mask', 'safely', 'people', 'potentially', 'infect', 'use', 'contaminated', 'hand', 'adjust', 'mask', 'repeatedly', 'take', 'put', 'without', 'clean', 'hand', 'drtedros', 'covid']","['guidance', 'also', 'explain', 'use', 'mask', 'safely', 'people', 'potentially', 'infect', 'use', 'contaminated', 'hand', 'adjust', 'mask', 'repeatedly', 'take', 'put', 'without', 'clean', 'hand', 'drtedros', 'covid']",3,2,",guidance,safely,clean",",infect,contaminated",positive
14,"['third', 'also', 'update', 'guidance', 'use', 'mask', 'general', 'public', 'area', 'community', 'transmission', 'drtedros', 'covid']","['third', 'also', 'update', 'guidance', 'use', 'mask', 'general', 'public', 'area', 'community', 'transmission', 'drtedros', 'covid']",1,0,",guidance",,positive
15,"['second', 'area', 'community', 'transmission', 'advise', '𝗽𝗲𝗼𝗽𝗹𝗲', '𝗮𝗴𝗲𝗱', '𝘆𝗲𝗮𝗿𝘀', '𝗼𝗿', '𝗼𝘃𝗲𝗿', 'underlying', 'condition', 'wear', 'medical', 'mask', 'situation', 'physical', 'distancing', 'possible', 'drtedros', 'covid']","['second', 'area', 'community', 'transmission', 'advise', '𝗽𝗲𝗼𝗽𝗹𝗲', '𝗮𝗴𝗲𝗱', '𝘆𝗲𝗮𝗿𝘀', '𝗼𝗿', '𝗼𝘃𝗲𝗿', 'underlying', 'condition', 'wear', 'medical', 'mask', 'situation', 'physical', 'distancing', 'possible', 'drtedros', 'covid']",1,0,",advise",,positive
