,0,tweets,positive_words_count,negative_words_count,positive_words,negative_words,over all sentiment
0,"['volunteers', 'pakistani', 'charity', 'organization', 'distribute', 'food', 'people', 'affect', 'covid', 'pandemic', 'islamabad', 'http', 'asiaalbum']","['volunteers', 'pakistani', 'charity', 'organization', 'distribute', 'food', 'people', 'affect', 'covid', 'pandemic', 'islamabad', 'http', 'asiaalbum']",1,1,",distribute",",pandemic",neutral
1,"['covid', 'infection', 'chinese', 'mainland', 'tuesday', 'http', 'imported', 'case', 'guangdong', 'domestically', 'transmit', 'case', 'person', 'discharge', 'hospital', 'patient', 'treat', 'confirm', 'case', 'amp', 'death', 'total']","['covid', 'infection', 'chinese', 'mainland', 'tuesday', 'http', 'imported', 'case', 'guangdong', 'domestically', 'transmit', 'case', 'person', 'discharge', 'hospital', 'patient', 'treat', 'confirm', 'case', 'amp', 'death', 'total']",2,5,",discharge,treat",",infection,case,case,case,death",negative
2,"['coronavirus', 'watch', 'june', 'http', 'spain', 'new', 'covid', 'death', 'nd', 'straight', 'day', 'europe', 'based', 'airline', 'start', 'resume', 'service', 'france', 'new', 'single', 'day', 'death', 'uk', 'death', 'hit', 'another', 'patient', 'die', 'chile', 'case', 'top']","['coronavirus', 'watch', 'june', 'http', 'spain', 'new', 'covid', 'death', 'nd', 'straight', 'day', 'europe', 'based', 'airline', 'start', 'resume', 'service', 'france', 'new', 'single', 'day', 'death', 'uk', 'death', 'hit', 'another', 'patient', 'die', 'chile', 'case', 'top']",1,5,",top",",death,death,death,die,case",negative
3,"['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'u', 'brazil', 'russia', 'britain', 'spain', 'italy', 'india', 'france', 'germany', 'peru']","['latest', 'count', 'confirmed', 'covid', 'case', 'worldwide', 'gmt', 'june', 'johns', 'hopkins', 'university', 'world', 'u', 'brazil', 'russia', 'britain', 'spain', 'italy', 'india', 'france', 'germany', 'peru']",0,1,,",case",negative
4,"['mass', 'protest', 'u', 'death', 'black', 'man', 'georgefloyd', 'may', 'speed', 'covid', 'transmission', 'expert', 'warn', 'http']","['mass', 'protest', 'u', 'death', 'black', 'man', 'georgefloyd', 'may', 'speed', 'covid', 'transmission', 'expert', 'warn', 'http']",0,3,,",mass,protest,death",negative
5,"['coronavirus', 'late', 'europe', 'http', 'uk', 'covid', 'death', 'hit', 'italy', 'death', 'toll', 'climb', 'spain', 'report', 'new', 'death', 'nd', 'consecutive', 'day', 'france', 'enters', 'nd', 'phase', 'ease', 'restriction']","['coronavirus', 'late', 'europe', 'http', 'uk', 'covid', 'death', 'hit', 'italy', 'death', 'toll', 'climb', 'spain', 'report', 'new', 'death', 'nd', 'consecutive', 'day', 'france', 'enters', 'nd', 'phase', 'ease', 'restriction']",1,5,",ease",",death,death,toll,death,restriction",negative
6,"['u', 'high', 'unemployment', 'largely', 'due', 'poor', 'management', 'covid', 'pandemic', 'federal', 'government', 'economist', 'say', 'http']","['u', 'high', 'unemployment', 'largely', 'due', 'poor', 'management', 'covid', 'pandemic', 'federal', 'government', 'economist', 'say', 'http']",0,2,,",poor,pandemic",negative
7,"['kenya', 'launch', 'virtual', 'safari', 'live', 'stream', 'campaign', 'showcase', 'country', 'wildlife', 'six', 'week', 'expedition', 'across', 'country', 'help', 'connect', 'traveler', 'kenya', 'restricted', 'movement', 'due', 'covid', 'pandemic', 'http']","['kenya', 'launch', 'virtual', 'safari', 'live', 'stream', 'campaign', 'showcase', 'country', 'wildlife', 'six', 'week', 'expedition', 'across', 'country', 'help', 'connect', 'traveler', 'kenya', 'restricted', 'movement', 'due', 'covid', 'pandemic', 'http']",1,2,",help",",restricted,pandemic",negative
8,"['update', 'wuhan', 'screen', 'nearly', 'mln', 'people', 'citywide', 'covid', 'test', 'national', 'resource', 'pull', 'support', 'citywide', 'drive', 'batch', 'testing', 'mix', 'five', 'sample', 'single', 'test', 'employ', 'improve', 'efficiency', 'http']","['update', 'wuhan', 'screen', 'nearly', 'mln', 'people', 'citywide', 'covid', 'test', 'national', 'resource', 'pull', 'support', 'citywide', 'drive', 'batch', 'testing', 'mix', 'five', 'sample', 'single', 'test', 'employ', 'improve', 'efficiency', 'http']",3,0,",screen,support,improve",,positive
9,"['number', 'confirmed', 'covid', 'case', 'across', 'african', 'continent', 'surpass', 'mark', 'tuesday', 'accord', 'africa', 'centers', 'disease', 'control', 'prevention', 'http']","['number', 'confirmed', 'covid', 'case', 'across', 'african', 'continent', 'surpass', 'mark', 'tuesday', 'accord', 'africa', 'centers', 'disease', 'control', 'prevention', 'http']",1,2,",surpass",",case,surpass",negative
