,0
0,"Italian health officials warned on Tuesday it was too soon to consider lifting lockdown restrictions, saying a deceleration in new cases of #coronavirus should not raise hopes that the crisis was near an end, Reuters reports. https://www.dawn.com/live-blog/"
1,"A six-month-old girl has tested positive for #coronavirus in Gujrat after her father was declared a Covid-19 patient around a week ago. The infant is being kept at home, while her mother will also be screened for the virus. https://www.dawn.com/news/1545368/"
2,Prime Minister Imran Khan on Tuesday directed the authorities concerned to prepare a relief package for the Afghan refugees and Internally Displaced Persons (IDPs) facing hardship due to the #coronavirus epidemic. https://www.dawn.com/news/1545468/
3,"Declared #coronavirus cases across the US have surged to 188,172, according to a running tally by Johns Hopkins University, with 3,873 deaths, AFP reported. https://www.dawn.com/live-blog/"
4,151 people held for violating Section 144 of CrPC in Sindh Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
5,Registrations start for PM's Corona Tigers Force Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
6,Prime Minister Imran Khan said that so far the intensity of the #coronavirus outbreak in the country has not escalated to the degree witnessed in other parts of the world. https://www.dawn.com/live-blog/
7,"""The pilgrims are our Pakistani brothers. police, personnel of law enforcement agencies, doctors, paramedics — they are all working for the state and are the state's responsibility,"" Shehryar Afridi said. https://www.dawn.com/live-blog/ #coronavirus "
8,"Spain reports more than 100,000 cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
9,"Britain has reported a record daily #coronavirus toll of 381, including a 13-year-old boy, more than double the number of nationwide deaths posted in the previous 24 hours, AFP reported. https://www.dawn.com/live-blog/"
10,Nasir Shah urges Centre to rename Corona Tiger Force to something neutral Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
11,"Coronavirus worst crisis since WWII, says UN chief Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
12,"#Pakistan's coronavirus cases tally exceeds 2,000 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
13,"Another coronavirus patient has recovered from the disease in Pakistan, according to the government's official portal for tracking the spread of Covid-19 in the country, increasing the number of total recoveries to 58. #coronavirus "
14,Cabinet discusses how to keep the economic wheel turning Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
15,"Again ruling out the possibility of enforcing a complete lockdown in the country, Prime Minister Imran Khan on Monday urged people to fight #coronavirus with 'wisdom'. https://www.dawn.com/news/1545155/"
16,"Global number of declared #coronavirus cases tops 700,000. "
17,Policemen working on 'frontline' shouldn't be on duty for more than 8 hours: Islamabad IGP Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
18,Designer Asim Jofa prepares fabric prototype of medical protective suit for healthcare workers Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
19,Five imams arrested in Punjab for violating directions Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
20,"Britain has reported a record daily #coronavirus toll of 381, including a 13-year-old boy, more than double the number of nationwide deaths posted in the previous 24 hours, AFP reported. https://www.dawn.com/live-blog/"
21,"Punjab has reported 32 new cases of the #coronavirus said provincial health department spokesperson Qaiser Asif, increasing the province's tally to 740. https://www.dawn.com/live-blog/"
22,"Germany reports 5,453 additional cases, another 149 deaths Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
23,"Declared #coronavirus cases across the US have surged to 188,172, according to a running tally by Johns Hopkins University, with 3,873 deaths, AFP reported. https://www.dawn.com/live-blog/"
24,"Daily meetings of CCI 'need of the hour', says Shehbaz Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
25,New Zealand waits to see if lockdown working; reports 61 new cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
26,Pakistan's Covid-19 recoveries increase to 82 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
27,Registrations for PM's 'Covid-19 Relief Tigers Force' to begin tonight Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
28,"Cabinet approved economic package, says Hammad Azhar Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
29,Here's what home caregivers of Covid-19 patients should do according to WHO Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
30,The UN Conference on Trade and Development (UNCTAD) has bracketed Pakistan among the countries which would be the hardest-hit by the #coronavirus demanding a raft of measures for their relief. https://www.dawn.com/live-blog/
31,"AS the fight against Covid-19 rages on across countries, a second crucial battle must be simultaneously fought to end another menacing phenomenon: misinformation. https://www.dawn.com/news/1545170/ #coronavirus "
32,"The US death toll from the #coronavirus pandemic climbed past 3,000 on Monday, the deadliest day yet in the country’s mounting crisis, while New York cheered the arrival of a gleaming 1,000-bed US Navy hospital ship. https://www.dawn.com/news/1545231/"
33,A special meeting of the Economic Coordination Committee (ECC) of the cabinet on Monday struggled to put in place mechanisms for disbursement of various elements of the federal government’s Rs534 billion relief package. https://www.dawn.com/news/1545169/ #coronavirus 
34,"Myanmar has reported its first #coronavirus death, a 69-year-old man who also had cancer and died in a hospital in the commercial capital of Yangon, a government spokeswoman said. https://www.dawn.com/live-blog/"
35,"Maryam Nawaz pays homage to doctors, nurses and paramedics Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
36,The government has called a special meeting of the Economic Coordination Committee (ECC) of the Cabinet on Monday (today) to clear the relief package announced by Prime Minister Imran Khan last week. https://www.dawn.com/news/1544891/ #coronavirus 
37,Trump drops idea of New York lockdown Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
38,No congregational prayers in Sindh until April 5: Murtaza Wahab Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
