,0,tweets,positivewordscount,negativewordscount,positive_words,negative_words,over all sentiment
0,"['lakh', 'poor', 'people', 'ration', 'card', 'delhi', 'request', 'apply', 'ration', 'card', 'delhi', 'govt', 'e', 'district', 'website', 'get', 'card', 'give', 'ration', 'till', 'covid', 'issue', 'persist', 'chief', 'minister', 'arvind', 'kejriwal']","['lakh', 'poor', 'people', 'ration', 'card', 'delhi', 'request', 'apply', 'ration', 'card', 'delhi', 'govt', 'e', 'district', 'website', 'get', 'card', 'give', 'ration', 'till', 'covid', 'issue', 'persist', 'chief', 'minister', 'arvind', 'kejriwal']",0,2,,",poor,issue",negative
1,"['wipro', 'ltd', 'wipro', 'enterprises', 'ltd', 'azim', 'premji', 'foundation', 'together', 'commit', 'rs', 'crore', 'towards', 'tackle', 'unprecedented', 'health', 'humanitarian', 'crisis', 'arise', 'covid', 'pandemic', 'outbreak']","['wipro', 'ltd', 'wipro', 'enterprises', 'ltd', 'azim', 'premji', 'foundation', 'together', 'commit', 'rs', 'crore', 'towards', 'tackle', 'unprecedented', 'health', 'humanitarian', 'crisis', 'arise', 'covid', 'pandemic', 'outbreak']",3,3,",together,commit,humanitarian",",crisis,pandemic,outbreak",neutral
2,"['initially', 'authority', 'say', 'everyone', 'would', 'get', 'ration', 'lockdown', 'late', 'deny', 'give', 'christians', 'also', 'pakistani', 'live', 'karachi', 'discrimination', 'basis', 'religion', 'fair', 'christian', 'local', 'sindh', 'province', 'pakistan', 'covid']","['initially', 'authority', 'say', 'everyone', 'would', 'get', 'ration', 'lockdown', 'late', 'deny', 'give', 'christians', 'also', 'pakistani', 'live', 'karachi', 'discrimination', 'basis', 'religion', 'fair', 'christian', 'local', 'sindh', 'province', 'pakistan', 'covid']",1,3,",fair",",lockdown,deny,discrimination",negative
3,"['chief', 'minister', 'bs', 'yediyurappa', 'announce', 'donate', 'entire', 'year', 'salary', 'cm', 'relief', 'fund', 'appeal', 'citizen', 'also', 'bit', 'contribute', 'whatever', 'capacity', 'possible', 'help', 'state', 'fight', 'covid', 'chief', 'minister', 'office', 'karnataka']","['chief', 'minister', 'bs', 'yediyurappa', 'announce', 'donate', 'entire', 'year', 'salary', 'cm', 'relief', 'fund', 'appeal', 'citizen', 'also', 'bit', 'contribute', 'whatever', 'capacity', 'possible', 'help', 'state', 'fight', 'covid', 'chief', 'minister', 'office', 'karnataka']",6,1,",donate,relief,fund,appeal,contribute,help",",bs",positive
4,"['people', 'trace', 'ahmednagar', 'include', 'foreigner', 'attend', 'markaz', 'nizamuddin', 'delhi', 'foreigner', 'result', 'come', 'test', 'positive', 'covid', 'people', 'come', 'contact', 'also', 'test', 'positive', 'ahmednagar', 'collector']","['people', 'trace', 'ahmednagar', 'include', 'foreigner', 'attend', 'markaz', 'nizamuddin', 'delhi', 'foreigner', 'result', 'come', 'test', 'positive', 'covid', 'people', 'come', 'contact', 'also', 'test', 'positive', 'ahmednagar', 'collector']",0,2,,",positive,positive",negative
5,"['total', 'number', 'people', 'pune', 'attend', 'event', 'nizamuddin', 'markaz', 'delhi', 'many', 'either', 'pune', 'untraceable', 'search', 'go', 'pune', 'district', 'collector', 'naval', 'kishore', 'ram', 'covid']","['total', 'number', 'people', 'pune', 'attend', 'event', 'nizamuddin', 'markaz', 'delhi', 'many', 'either', 'pune', 'untraceable', 'search', 'go', 'pune', 'district', 'collector', 'naval', 'kishore', 'ram', 'covid']",0,0,,,neutral
6,"['police', 'personnel', 'deploy', 'various', 'pickets', 'barricades', 'delhi', 'connection', 'maintaining', 'law', 'order', 'delhi', 'regard', 'outbreak', 'covid', 'may', 'target', 'suspected', 'isis', 'operatives', 'field', 'staff', 'may', 'brief', 'accordingly', 'delhi', 'dy', 'commissioner', 'police', 'special', 'cell']","['police', 'personnel', 'deploy', 'various', 'pickets', 'barricades', 'delhi', 'connection', 'maintaining', 'law', 'order', 'delhi', 'regard', 'outbreak', 'covid', 'may', 'target', 'suspected', 'isis', 'operatives', 'field', 'staff', 'may', 'brief', 'accordingly', 'delhi', 'dy', 'commissioner', 'police', 'special', 'cell']",1,3,",regard",",pickets,outbreak,suspected",negative
7,"['watch', 'delhi', 'police', 'release', 'video', 'warning', 'senior', 'member', 'markaz', 'nizamuddin', 'vacate', 'markaz', 'amp', 'follow', 'lockdown', 'guideline', 'rd', 'march', 'covid']","['watch', 'delhi', 'police', 'release', 'video', 'warning', 'senior', 'member', 'markaz', 'nizamuddin', 'vacate', 'markaz', 'amp', 'follow', 'lockdown', 'guideline', 'rd', 'march', 'covid']",1,2,",guideline",",warning,lockdown",negative
8,"['n', 'take', 'salary', 'mla', 'cm', 'also', 'forego', 'mp', 'pension', 'despite', 'time', 'mp', 'limited', 'resource', 'contribute', 'rs', 'lakh', 'pm', '’', 'national', 'relief', 'fund', 'rs', 'lakh', 'state', 'emergency', 'relief', 'fund', 'west', 'bengal', 'cm', 'mamata', 'banerjee', 'covid']","['n', 'take', 'salary', 'mla', 'cm', 'also', 'forego', 'mp', 'pension', 'despite', 'time', 'mp', 'limited', 'resource', 'contribute', 'rs', 'lakh', 'pm', '’', 'national', 'relief', 'fund', 'rs', 'lakh', 'state', 'emergency', 'relief', 'fund', 'west', 'bengal', 'cm', 'mamata', 'banerjee', 'covid']",5,2,",contribute,relief,fund,relief,fund",",limited,emergency",positive
9,"['prime', 'minister', 'narendra', 'modi', 'mother', 'hiraba', 'donate', 'rs', 'personal', 'saving', 'pmcares', 'fund', 'covid', 'file', 'pic']","['prime', 'minister', 'narendra', 'modi', 'mother', 'hiraba', 'donate', 'rs', 'personal', 'saving', 'pmcares', 'fund', 'covid', 'file', 'pic']",2,0,",donate,fund",,positive
10,"['venkara', 'raghava', 'bengaluru', 'infect', 'covid', 'fully', 'recover', 'say', 'perfectly', 'well', 'travel', 'los', 'angeles', 'via', 'heathrow', 'airport', 'come', 'contact', 'many', 'traveller', 'might', 'pick', 'infection']","['venkara', 'raghava', 'bengaluru', 'infect', 'covid', 'fully', 'recover', 'say', 'perfectly', 'well', 'travel', 'los', 'angeles', 'via', 'heathrow', 'airport', 'come', 'contact', 'many', 'traveller', 'might', 'pick', 'infection']",3,2,",recover,perfectly,well",",infect,infection",positive
