,0,tweets,positive_words_count,negative_words_count,positive_words,negative_words,over all sentiment
0,"['italian', 'health', 'official', 'warn', 'tuesday', 'soon', 'consider', 'lift', 'lockdown', 'restriction', 'say', 'deceleration', 'new', 'case', 'coronavirus', 'raise', 'hope', 'crisis', 'near', 'end', 'reuters', 'report', 'http']","['italian', 'health', 'official', 'warn', 'tuesday', 'soon', 'consider', 'lift', 'lockdown', 'restriction', 'say', 'deceleration', 'new', 'case', 'coronavirus', 'raise', 'hope', 'crisis', 'near', 'end', 'reuters', 'report', 'http']",0,4,,",lockdown,restriction,case,crisis",negative
1,"['six', 'month', 'old', 'girl', 'test', 'positive', 'coronavirus', 'gujrat', 'father', 'declare', 'covid', 'patient', 'around', 'week', 'ago', 'infant', 'keep', 'home', 'mother', 'also', 'screen', 'virus', 'http']","['six', 'month', 'old', 'girl', 'test', 'positive', 'coronavirus', 'gujrat', 'father', 'declare', 'covid', 'patient', 'around', 'week', 'ago', 'infant', 'keep', 'home', 'mother', 'also', 'screen', 'virus', 'http']",1,2,",screen",",positive,virus",negative
2,"['prime', 'minister', 'imran', 'khan', 'tuesday', 'direct', 'authority', 'concern', 'prepare', 'relief', 'package', 'afghan', 'refugee', 'internally', 'displaced', 'persons', 'idps', 'face', 'hardship', 'due', 'coronavirus', 'epidemic', 'http']","['prime', 'minister', 'imran', 'khan', 'tuesday', 'direct', 'authority', 'concern', 'prepare', 'relief', 'package', 'afghan', 'refugee', 'internally', 'displaced', 'persons', 'idps', 'face', 'hardship', 'due', 'coronavirus', 'epidemic', 'http']",4,3,",concern,prepare,relief,package",",displaced,hardship,epidemic",positive
3,"['declared', 'coronavirus', 'case', 'across', 'us', 'surge', 'accord', 'run', 'tally', 'johns', 'hopkins', 'university', 'death', 'afp', 'report', 'http']","['declared', 'coronavirus', 'case', 'across', 'us', 'surge', 'accord', 'run', 'tally', 'johns', 'hopkins', 'university', 'death', 'afp', 'report', 'http']",0,3,,",case,tally,death",negative
4,"['people', 'hold', 'violate', 'section', 'crpc', 'sindh', 'follow', 'live', 'update', 'coronavirus', 'http']","['people', 'hold', 'violate', 'section', 'crpc', 'sindh', 'follow', 'live', 'update', 'coronavirus', 'http']",0,1,,",violate",negative
5,"['registrations', 'start', 'pm', 'corona', 'tigers', 'force', 'follow', 'live', 'update', 'coronavirus', 'http']","['registrations', 'start', 'pm', 'corona', 'tigers', 'force', 'follow', 'live', 'update', 'coronavirus', 'http']",0,0,,,neutral
6,"['prime', 'minister', 'imran', 'khan', 'say', 'far', 'intensity', 'coronavirus', 'outbreak', 'country', 'escalate', 'degree', 'witness', 'part', 'world', 'http']","['prime', 'minister', 'imran', 'khan', 'say', 'far', 'intensity', 'coronavirus', 'outbreak', 'country', 'escalate', 'degree', 'witness', 'part', 'world', 'http']",0,1,,",outbreak",negative
7,"['pilgrim', 'pakistani', 'brother', 'police', 'personnel', 'law', 'enforcement', 'agency', 'doctor', 'paramedic', '—', 'work', 'state', 'state', '\\', '\\', 'responsibility', 'shehryar', 'afridi', 'say', 'http', 'coronavirus']","['pilgrim', 'pakistani', 'brother', 'police', 'personnel', 'law', 'enforcement', 'agency', 'doctor', 'paramedic', '—', 'work', 'state', 'state', '\\', '\\', 'responsibility', 'shehryar', 'afridi', 'say', 'http', 'coronavirus']",0,0,,,neutral
8,"['spain', 'report', 'case', 'follow', 'live', 'update', 'coronavirus', 'http']","['spain', 'report', 'case', 'follow', 'live', 'update', 'coronavirus', 'http']",0,1,,",case",negative
9,"['britain', 'report', 'record', 'daily', 'coronavirus', 'toll', 'include', 'year', 'old', 'boy', 'double', 'number', 'nationwide', 'death', 'post', 'previous', 'hour', 'afp', 'report', 'http']","['britain', 'report', 'record', 'daily', 'coronavirus', 'toll', 'include', 'year', 'old', 'boy', 'double', 'number', 'nationwide', 'death', 'post', 'previous', 'hour', 'afp', 'report', 'http']",0,2,,",toll,death",negative
10,"['nasir', 'shah', 'urge', 'centre', 'rename', 'corona', 'tiger', 'force', 'something', 'neutral', 'follow', 'live', 'update', 'coronavirus', 'http']","['nasir', 'shah', 'urge', 'centre', 'rename', 'corona', 'tiger', 'force', 'something', 'neutral', 'follow', 'live', 'update', 'coronavirus', 'http']",0,0,,,neutral
11,"['coronavirus', 'bad', 'crisis', 'since', 'wwii', 'say', 'un', 'chief', 'follow', 'live', 'update', 'coronavirus', 'http']","['coronavirus', 'bad', 'crisis', 'since', 'wwii', 'say', 'un', 'chief', 'follow', 'live', 'update', 'coronavirus', 'http']",0,2,,",bad,crisis",negative
12,"['pakistan', 'coronavirus', 'case', 'tally', 'exceed', 'follow', 'live', 'update', 'coronavirus', 'http']","['pakistan', 'coronavirus', 'case', 'tally', 'exceed', 'follow', 'live', 'update', 'coronavirus', 'http']",0,2,,",case,tally",negative
13,"['another', 'coronavirus', 'patient', 'recover', 'disease', 'pakistan', 'accord', 'government', 'official', 'portal', 'track', 'spread', 'covid', 'country', 'increase', 'number', 'total', 'recovery', 'coronavirus']","['another', 'coronavirus', 'patient', 'recover', 'disease', 'pakistan', 'accord', 'government', 'official', 'portal', 'track', 'spread', 'covid', 'country', 'increase', 'number', 'total', 'recovery', 'coronavirus']",2,1,",recover,recovery",",spread",positive
14,"['cabinet', 'discuss', 'keep', 'economic', 'wheel', 'turn', 'follow', 'live', 'update', 'coronavirus', 'http']","['cabinet', 'discuss', 'keep', 'economic', 'wheel', 'turn', 'follow', 'live', 'update', 'coronavirus', 'http']",1,0,",discuss",,positive
15,"['rule', 'possibility', 'enforce', 'complete', 'lockdown', 'country', 'prime', 'minister', 'imran', 'khan', 'monday', 'urge', 'people', 'fight', 'coronavirus', 'wisdom', 'http']","['rule', 'possibility', 'enforce', 'complete', 'lockdown', 'country', 'prime', 'minister', 'imran', 'khan', 'monday', 'urge', 'people', 'fight', 'coronavirus', 'wisdom', 'http']",1,1,",wisdom",",lockdown",neutral
16,"['global', 'number', 'declared', 'coronavirus', 'case', 'top']","['global', 'number', 'declared', 'coronavirus', 'case', 'top']",1,1,",top",",case",neutral
17,"['policemen', 'work', 'frontline', 'n', 'duty', 'hour', 'islamabad', 'igp', 'follow', 'live', 'update', 'coronavirus', 'http']","['policemen', 'work', 'frontline', 'n', 'duty', 'hour', 'islamabad', 'igp', 'follow', 'live', 'update', 'coronavirus', 'http']",0,0,,,neutral
18,"['designer', 'asim', 'jofa', 'prepare', 'fabric', 'prototype', 'medical', 'protective', 'suit', 'healthcare', 'worker', 'follow', 'live', 'update', 'coronavirus', 'http']","['designer', 'asim', 'jofa', 'prepare', 'fabric', 'prototype', 'medical', 'protective', 'suit', 'healthcare', 'worker', 'follow', 'live', 'update', 'coronavirus', 'http']",2,0,",prepare,protective",,positive
19,"['five', 'imam', 'arrest', 'punjab', 'violate', 'direction', 'follow', 'live', 'update', 'coronavirus', 'http']","['five', 'imam', 'arrest', 'punjab', 'violate', 'direction', 'follow', 'live', 'update', 'coronavirus', 'http']",0,2,,",arrest,violate",negative
20,"['britain', 'report', 'record', 'daily', 'coronavirus', 'toll', 'include', 'year', 'old', 'boy', 'double', 'number', 'nationwide', 'death', 'post', 'previous', 'hour', 'afp', 'report', 'http']","['britain', 'report', 'record', 'daily', 'coronavirus', 'toll', 'include', 'year', 'old', 'boy', 'double', 'number', 'nationwide', 'death', 'post', 'previous', 'hour', 'afp', 'report', 'http']",0,2,,",toll,death",negative
21,"['punjab', 'report', 'new', 'case', 'coronavirus', 'say', 'provincial', 'health', 'department', 'spokesperson', 'qaiser', 'asif', 'increase', 'province', 'tally', 'http']","['punjab', 'report', 'new', 'case', 'coronavirus', 'say', 'provincial', 'health', 'department', 'spokesperson', 'qaiser', 'asif', 'increase', 'province', 'tally', 'http']",0,2,,",case,tally",negative
22,"['germany', 'report', 'additional', 'case', 'another', 'death', 'follow', 'live', 'update', 'coronavirus', 'http']","['germany', 'report', 'additional', 'case', 'another', 'death', 'follow', 'live', 'update', 'coronavirus', 'http']",0,2,,",case,death",negative
23,"['declared', 'coronavirus', 'case', 'across', 'us', 'surge', 'accord', 'run', 'tally', 'johns', 'hopkins', 'university', 'death', 'afp', 'report', 'http']","['declared', 'coronavirus', 'case', 'across', 'us', 'surge', 'accord', 'run', 'tally', 'johns', 'hopkins', 'university', 'death', 'afp', 'report', 'http']",0,3,,",case,tally,death",negative
24,"['daily', 'meeting', 'cci', 'need', 'hour', 'say', 'shehbaz', 'follow', 'live', 'update', 'coronavirus', 'http']","['daily', 'meeting', 'cci', 'need', 'hour', 'say', 'shehbaz', 'follow', 'live', 'update', 'coronavirus', 'http']",0,0,,,neutral
25,"['new', 'zealand', 'wait', 'see', 'lockdown', 'working', 'report', 'new', 'case', 'follow', 'live', 'update', 'coronavirus', 'http']","['new', 'zealand', 'wait', 'see', 'lockdown', 'working', 'report', 'new', 'case', 'follow', 'live', 'update', 'coronavirus', 'http']",0,2,,",lockdown,case",negative
26,"['pakistan', 'covid', 'recovery', 'increase', 'follow', 'live', 'update', 'coronavirus', 'http']","['pakistan', 'covid', 'recovery', 'increase', 'follow', 'live', 'update', 'coronavirus', 'http']",1,0,",recovery",,positive
